name,population ,pcode,Weeks,cas,Cumulative_cases,Incidence,TA
Ekoto,6353,C002,46,7,42,110,0.66
Bokolongo,6866,C006,46,0,5,0,0.07
Bokele,7685,C010,46,5,7,65,0.09
Balangala,14589,C005,46,0,8,0,0.05
Ndeke,8332,C016,46,14,39,168,0.47
Ilodge(Ifomi),10468,C004,46,0,41,0,0.39
Nsongo nkoy,8266,C018,46,13,26,157,0.31
Boyela,12246,C014,46,10,57,82,0.47
Lofoma (pilote),6346,C008,46,3,3,47,0.05
Loanga,6137,C001,46,0,34,0,0.55
Bolimi toenga,7777,C013,46,0,2,0,0.03
Lifumba,10923,C009,46,0,1,0,0.01
Monzonzo,7350,C007,46,0,0,0,0
Lilangi,7894,C017,47,0,59,0,0.75
Bongilima,5638,C021,47,0,104,0,1.84
Bafumba,18645,C024,47,84,449,451,2.41
Bokala,11529,C023,47,29,205,252,1.78
Lisafa,20432,C020,47,2,53,10,0.26
Isampoka (Elikia),19369,C025,47,35,230,181,1.19
Boboto,13817,C022,47,21,157,152,1.14
Ikau,8116,C003,47,2,57,25,0.7
Bolombo mengi,8535,C015,47,0,88,0,1.03
Waka,12380,C011,47,16,42,129,0.34
Nsongo Ilinga,10656,C019,47,10,41,94,0.38
Bokeka,12390,C012,47,8,17,65,0.14
Bokakata,10480,C026,47,8,42,76,0.4
Ekoto,6353,C002,47,18,60,283,0.94
Bokolongo,6866,C006,47,5,10,73,0.15
Bokele,7685,C010,47,0,7,0,0.09
Balangala,14589,C005,47,0,8,0,0.05
Ndeke,8332,C016,47,9,48,108,0.58
Ilodge(Ifomi),10468,C004,47,0,41,0,0.39
Nsongo nkoy,8266,C018,47,0,26,0,0.31
Boyela,12246,C014,47,0,57,0,0.47
Lofoma (pilote),6346,C008,47,3,6,47,0.09
Loanga,6137,C001,47,0,34,0,0.55
Bolimi toenga,7777,C013,47,0,2,0,0.03
Lifumba,10923,C009,47,0,1,0,0.01
Monzonzo,7350,C007,47,0,0,0,0
Lilangi,7894,C017,48,5,64,63,0.81
Bongilima,5638,C021,48,4,108,71,1.92
Bafumba,18645,C024,48,59,508,316,2.72
Bokala,11529,C023,48,15,220,130,1.91
Lisafa,20432,C020,48,6,59,29,0.29
Isampoka (Elikia),19369,C025,48,12,242,62,1.25
Boboto,13817,C022,48,6,163,43,1.18
Ikau,8116,C003,48,1,58,12,0.71
Bolombo mengi,8535,C015,48,14,102,164,1.2
Waka,12380,C011,48,10,52,81,0.42
Nsongo Ilinga,10656,C019,48,26,67,244,0.63
Bokeka,12390,C012,48,10,27,81,0.22
